PERMIT,MINE,OPERATOR,TYPE,STATUS,COAL_SEAM,COUNTY,SHAPEAREA,SHAPELEN,OBJECTID
30831303,Cumberland,"Cumberland Contura, LLC",Longwall,Active,Pittsburgh,Greene,203843341.138868,92712.8019438626,413335
30121301,Harvey,Consol Pennsylvania Coal Co,Longwall,Active,Pittsburgh,Greene,77486900.95326,48919.0305720869,413336
63131301,Ram No. 1,"RAM Mining, LLC",Room and Pillar,Pending,Pittsburgh,Washington,9242615.88130532,19450.29955263,413337
63921301,High Quality,UMCO Energy,Room and Pillar,Active,Pittsburgh,Washington,12104917.4497458,26468.8369114652,413338
63091301,Tunnel Ridge,"Tunnel Ridge, LLC",Room and Pillar,Active,Pittsburgh,Washington,25520948.9053788,30110.0348582957,413339
63091301,Tunnel Ridge,"Tunnel Ridge, LLC",Room and Pillar,Pending,Pittsburgh,Washington,567682.682780875,3061.1975066783,413340
30001301,Crawdad Portal B,Dana Mining,Room and Pillar,Active,Sewickley,Greene,8875292.55655598,17384.1256856048,413299
03851303,Clementine,McVille Mining,Room and Pillar,Active,Lower Kittanning,Armstrong,75630444.6387429,61618.3655981509,413292
32881301,Penn Run,"Amfire Mining Company, LLC",Room and Pillar,Active,Upper Freeport,Indiana,17568481.4365542,34188.985639178,413294
11991301,Twin Rocks,Rosebud Mining,Room and Pillar,Active,Lower Freeport,Cambria,24006510.076931,33603.5502510578,413295
30841316,Bailey Mine,CONSOL PA Coal Co,Longwall,Active,Pittsburgh,Greene,275322985.478504,102062.645142023,413297
30101301,CW Morgan,CWMM LLC,Room and Pillar,Active,Pittsburgh,Greene,19485122.4830211,38343.9316012221,413298
33971301,Dora 8,AMFIRE Mining,Room and Pillar,Active,Lower Kittanning,Jefferson,20153212.3383141,19962.3594524313,413300
