"","PERMIT","MINE","OPERATOR","TYPE","STATUS","COAL_SEAM","COUNTY","SHAPEAREA","SHAPELEN","OBJECTID"
"18",56841328,"Mine 78","Rosebud Mining","Room and Pillar","Pending","Upper Kittanning","Somerset",15669420.7776902,28408.010890388,413350
"26",11031301,"Madison","Rosebud Mining","Room and Pillar","Active","Upper Freeport","Cambria",77339345.6947182,49049.3039266173,413271
"36",56841328,"Mine 78","Rosebud Mining","Room and Pillar","Active","Upper Kittanning","Somerset",60051377.2243621,41389.5184855209,413274
"58",56091301,"Stonycreek","Rosebud Mining","Room and Pillar","Active","Upper Kittanning","Somerset",9264081.93127248,20601.2139673921,413291
"74",11991301,"Twin Rocks","Rosebud Mining","Room and Pillar","Active","Lower Freeport","Cambria",24006510.076931,33603.5502510578,413295
