SF_ID,OTHER_ID,SF_NAME,SF_TYPE_CD,SF_TYPE,SF_STATUS_CD,SF_STATUS,SF_PRIORITY_CD,SF_PRIORITY,SF_PROBLEM_CODE,SF_PROBLEM_CODE_DESCRIPTION,HEIGHT_FT,VOLUME_CY,FLOW_GPM,KEYWORDS,SHAPEAREA,SHAPELEN,OBJECTID
814948,1753-05,1753-05,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,0,0,,,22370.426257665,871.298353987426,11016089
814950,1753-07,1753-07,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,0,0,,,669915.337333025,7400.00328939548,11016090
814951,1753-08,1753-08,IWS,Impacted Water Source,ABAND,Abandoned,2,Health or Safety Impact,12,12 Erosion-Prone Area,0,0,,CS,72960.125494855,1715.56617984762,11016091
814953,1753-10,1753-10,IWS,Impacted Water Source,ABAND,Abandoned,2,Health or Safety Impact,12,12 Erosion-Prone Area,0,0,,CS,667747.923286575,5271.66681546842,11016092
814954,1754-01,1754-01,SUB,Subsidence Area,COM,Reclamation Complete,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,,82222.69199896,1041.96384284578,11016093
814955,1754-02,1754-02,RFSPL,Refuse Pile,ABAND,Abandoned,UNDET,Priority has not been determined,41,41 Refuse Pile,35,1530000,,,413109.423606925,3598.06345174984,11016094
814956,1754-03,1754-03,SUB,Subsidence Area,COM,Reclamation Complete,UNDET,Priority has not been determined,08,08 Subsidence Prone Area,0,0,,,11057.588036025,380.325752316003,11016095
814961,1755-01,1755-01,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,21,21 Flooded Strip Mine,30,48000,,HWB,25051.482000765,707.243042569566,11016096
814962,1755-02,1755-02,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,30,48000,,PI,21463.70524,735.057966729975,11016097
814963,1755-03,1755-03,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,25,107400,,PI,56425.83299574,1339.3218946153,11016098
814964,1755-04,1755-04,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,25,67000,,PI,23854.51248278,869.344105724375,11016099
814965,1755-05,1755-05,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,20,107400,,PI,57780.595473875,1297.30358772524,11016100
814966,1755-06,1755-06,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,20,53600,,PI,23881.166816055,845.018526695756,11016101
814967,1755-07,1755-07,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,SP,90968.122923975,1140.16215565947,11016102
814974,1756-01,1756-01,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,21,21 Flooded Strip Mine,20,0,,,13972.3477562,510.448826078201,11016103
814975,1756-02,1756-02,SPOIL,Spoil Area,ABAND,Abandoned,3,Environmental Impact,22,22 Spoil Pile,20,64500,,,43169.430756615,963.030390233872,11016104
814976,1757-01,1757-01,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,,464149.83778792,2771.21617378023,11016105
814977,1757-02,1757-02,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,08,08 Subsidence Prone Area,0,0,,,2740938.41677156,9176.49134521297,11016106
